name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Spirosoma sp. SC4-14	3128900	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	242	0.00001	21	0.00000
Spirosoma sp. KUDC1026	2745947	S	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	138	0.00001
Spirosoma sp. KNUC1025	2894082	S	13	0.00000	46	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000
Spirosoma taeanense	2735870	S	91	0.00001	0	0.00000	57	0.00000	0	0.00000	0	0.00000	314	0.00001
Spirosoma montaniterrae	1178516	S	28	0.00000	0	0.00000	68	0.00000	0	0.00000	0	0.00000	72	0.00000
Spirosoma pollinicola	2057025	S	27	0.00000	0	0.00000	65	0.00000	0	0.00000	57	0.00000	114	0.00001
Spirosoma oryzicola	2898794	S	25	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	13	0.00000
Cytophaga hutchinsonii	985	S	26	0.00000	0	0.00000	0	0.00000	0	0.00000	39	0.00000	59	0.00000
Aquiflexum balticum	280473	S	78	0.00000	0	0.00000	64	0.00000	0	0.00000	0	0.00000	11	0.00000
Algoriphagus halophytocola	2991499	S	43	0.00000	0	0.00000	67	0.00000	0	0.00000	0	0.00000	0	0.00000
Algoriphagus sp. Y33	2772483	S	19	0.00000	0	0.00000	0	0.00000	0	0.00000	39	0.00000	0	0.00000
Echinicola strongylocentroti	1795355	S	26	0.00000	17	0.00000	38	0.00000	0	0.00000	142	0.00001	20	0.00000
Echinicola rosea	1807691	S	18	0.00000	0	0.00000	34	0.00000	0	0.00000	0	0.00000	19	0.00000
Emticicia sp. 21SJ11W-3	2916755	S	101	0.00001	0	0.00000	27	0.00000	0	0.00000	0	0.00000	718	0.00003
Jiulongibacter sp. NS-SX5	3463854	S	41	0.00000	0	0.00000	37	0.00000	0	0.00000	0	0.00000	0	0.00000
Flammeovirga pectinis	2494373	S	83	0.00000	41	0.00000	72	0.00000	0	0.00000	0	0.00000	0	0.00000
